0,1,0
1,1,0
2,6,0
3,7,0
4,11,0
5,11,0
6,15,0
7,28,0
8,38,0
9,71,0
10,86,0
11,117,0
12,145,0
13,234,1
14,263,4
15,318,5
16,363,5
17,395,5
18,416,7
19,480,9
20,589,9
21,635,11
22,671,16
23,852,18
24,950,24
25,1065,30
26,1323,38
27,1414,55
28,1595,61
29,1746,73
30,2281,83
31,2561,92
32,2954,107
33,4342,121
34,5256,138
35,5897,169
36,6848,181
37,7519,193
38,9784,216
39,10303,230
40,11475,254
41,12491,274
42,13489,300
43,14420,348
44,15628,400
45,16325,445
46,17837,484
47,19250,530
48,20914,572
49,21648,634
50,25331,700
51,27517,728
52,28699,782
